B.S:2072-6-19A.D:2015-10-06,Local:17:47 UTC:12:02,27.69,86.09,4.2,NSC,Dolakha
B.S:2072-6-18A.D:2015-10-05,Local:13:21 UTC:07:36,27.71,86.1,4.2,NSC,Dolakha
B.S:2072-6-18A.D:2015-10-05,Local:13:18 UTC:07:33,27.71,86.15,4.8,NSC,Dolakha
B.S:2072-6-4A.D:2015-09-20,Local:04:05 UTC:22:20,27.76,86.37,4,NSC,Dolakha
B.S:2072-5-30A.D:2015-09-16,Local:20:37 UTC:14:52,27.6,86.19,4.2,NSC,Dolakha
B.S:2072-5-23A.D:2015-09-09,Local:18:23 UTC:12:38,27.82,86.24,4,NSC,Dolakha
B.S:2072-5-17A.D:2015-09-02,Local:04:51 UTC:23:06,27.64,86.19,4.4,NSC,Dolakha
B.S:2072-5-13A.D:2015-08-30,Local:08:26 UTC:02:41,27.66,86.23,4.1,NSC,Dolakha
B.S:2072-5-8A.D:2015-08-25,Local:15:08 UTC:09:23,27.68,86.22,4,NSC,Dolakha
B.S:2072-5-6A.D:2015-08-23,Local:14:47 UTC:09:02,27.87,86.17,5.1,NSC,Dolakha
B.S:2072-5-2A.D:2015-08-18,Local:04:08 UTC:22:23,27.93,86.14,4.8,NSC,Dolakha
B.S:2072-4-30A.D:2015-08-15,Local:23:56 UTC:18:11,27.71,86.05,4.8,NSC,Dolakha
B.S:2072-4-30A.D:2015-08-15,Local:10:10 UTC:04:25,27.87,86.08,4.1,NSC,Dolakha
B.S:2072-4-29A.D:2015-08-14,Local:18:47 UTC:13:02,27.59,85.97,4.3,NSC,Dolakha
B.S:2072-4-23A.D:2015-08-08,Local:21:25 UTC:15:40,27.69,86.26,4.1,NSC,Dolakha
B.S:2072-4-20A.D:2015-08-05,Local:17:38 UTC:11:53,27.63,86.07,4.1,NSC,Dolakha
B.S:2072-4-20A.D:2015-08-05,Local:13:59 UTC:08:14,27.64,86.07,4.3,NSC,Dolakha
B.S:2072-4-14A.D:2015-07-30,Local:20:18 UTC:14:33,27.66,86.09,4.5,NSC/RSC,Dolakha
B.S:2072-4-12A.D:2015-07-28,Local:21:23 UTC:15:38,27.59,86.17,4.1,NSC,Dolakha
B.S:2072-4-12A.D:2015-07-28,Local:18:38 UTC:12:53,27.68,86.04,4,NSC,Dolakha
B.S:2072-4-10A.D:2015-07-26,Local:09:30 UTC:03:45,27.68,86.22,4.1,NSC,Dolakha
B.S:2072-4-10A.D:2015-07-25,Local:00:05 UTC:18:20,27.61,86.28,4.3,NSC,Dolakha
B.S:2072-4-9A.D:2015-07-25,Local:20:04 UTC:14:19,27.66,86,4.5,NSC,Dolakha
B.S:2072-4-5A.D:2015-07-21,Local:08:09 UTC:02:24,27.86,86.39,4.3,NSC,Dolakha
B.S:2072-3-28A.D:2015-07-13,Local:17:39 UTC:11:54,27.63,86.09,4.2,NSC,Dolakha
B.S:2072-3-27A.D:2015-07-11,Local:02:28 UTC:20:43,27.8,86.23,4.4,NSC,Dolakha
B.S:2072-3-23A.D:2015-07-08,Local:10:19 UTC:04:34,27.6,86.23,4.1,NSC,Dolakha
B.S:2072-3-21A.D:2015-07-06,Local:10:48 UTC:05:03,27.69,86.2,4.3,NSC,Dolakha
B.S:2072-3-20A.D:2015-07-05,Local:10:07 UTC:04:22,27.67,86.2,4.2,NSC,Dolakha
B.S:2072-3-16A.D:2015-07-01,Local:09:12 UTC:03:27,27.71,86.12,4,NSC,Dolakha
B.S:2072-3-11A.D:2015-06-26,Local:18:02 UTC:12:17,27.74,86.28,4.2,NSC,Dolakha
B.S:2072-3-10A.D:2015-06-25,Local:23:49 UTC:18:04,27.66,86.21,4.1,NSC,Dolakha
B.S:2072-3-7A.D:2015-06-22,Local:13:19 UTC:07:34,27.67,86.17,4,NSC,Dolakha
B.S:2072-3-1A.D:2015-06-16,Local:21:56 UTC:16:11,27.7,86.16,4.1,NSC,Dolakha
B.S:2072-2-31A.D:2015-06-14,Local:15:01 UTC:09:16,27.74,86.26,4.1,NSC,Dolakha
B.S:2072-2-30A.D:2015-06-13,Local:07:03 UTC:01:18,27.73,86.16,5.2,NSC,Dolakha
B.S:2072-2-29A.D:2015-06-12,Local:10:19 UTC:04:34,27.67,86.09,4.4,NSC,Dolakha
B.S:2072-2-29A.D:2015-06-11,Local:00:26 UTC:18:41,27.67,86.07,4,NSC,Dolakha
B.S:2072-2-27A.D:2015-06-10,Local:14:51 UTC:09:06,27.62,86.1,4.2,NSC,Dolakha
B.S:2072-2-24A.D:2015-06-07,Local:22:35 UTC:16:50,27.87,86.13,4.1,NSC,Dolakha
B.S:2072-2-23A.D:2015-06-06,Local:22:45 UTC:17:00,27.58,86.18,4,NSC,Dolakha
B.S:2072-2-21A.D:2015-06-04,Local:16:15 UTC:10:30,27.76,86.2,4,NSC,Dolakha
B.S:2072-2-20A.D:2015-06-03,Local:17:38 UTC:11:53,27.7,86.26,4.5,NSC,Dolakha
B.S:2072-2-20A.D:2015-06-03,Local:14:39 UTC:08:54,27.76,86.07,4.2,NSC,Dolakha
B.S:2072-2-19A.D:2015-06-02,Local:10:48 UTC:05:03,27.78,86.2,4,NSC,Dolakha
B.S:2072-2-15A.D:2015-05-29,Local:18:22 UTC:12:37,27.82,86.34,4.2,NSC,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:17:59 UTC:12:14,27.59,86.16,4.1,NSC,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:17:21 UTC:11:36,27.59,86.19,4.2,NSC,Dolakha
B.S:2072-2-14A.D:2015-05-28,Local:11:14 UTC:05:29,27.77,86.25,4.2,NSC,Dolakha
B.S:2072-2-13A.D:2015-05-27,Local:17:48 UTC:12:03,27.59,86.2,4.2,NSC,Dolakha
B.S:2072-2-12A.D:2015-05-26,Local:12:24 UTC:06:39,27.71,86.05,4.1,NSC,Dolakha
B.S:2072-2-12A.D:2015-05-26,Local:11:33 UTC:05:48,27.63,86.3,4.1,NSC,Dolakha
B.S:2072-2-12A.D:2015-05-26,Local:07:56 UTC:02:11,27.84,86.24,4.3,NSC,Dolakha
B.S:2072-2-11A.D:2015-05-25,Local:16:45 UTC:11:00,27.71,86.07,4.1,NSC,Dolakha
B.S:2072-2-11A.D:2015-05-25,Local:16:01 UTC:10:16,27.74,86.19,4.4,NSC,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:18:40 UTC:12:55,27.8,86.29,4.4,NSC,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:17:00 UTC:11:15,27.76,86.26,4.3,NSC,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:16:23 UTC:10:38,27.76,86.28,4.4,NSC,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:12:51 UTC:07:06,27.67,86.18,4.2,NSC,Dolakha
