date,time,latitude,longitude,magnitude,remarks,epicenter
2016-03-15,03:12,27.84,85.73,4.5,NSC,sindhupalchowk
2016-03-13,11:00,27.83,84.9,4.8,NSC,dhading
2016-03-11,15:13,27.9,85.87,4.2,NSC,sindhupalchowk
2016-03-07,13:50,30.22,81.7,4.4,NSC/RSC,humla
2016-03-06,07:10,27.69,85.93,4.0,NSC,sindhupalchowk
2016-03-01,16:30,27.79,85.73,4.3,NSC,sindhupalchowk
2016-02-24,15:07,27.8,85.74,5.4,NSC,sindhupalchok
2016-02-23,08:45,27.47,87.15,4.5,NSC,sankhuwasava
2016-02-21,23:54,28.08,84.76,5.5,NSC,gorkha
2016-02-20,03:54,27.86,85.29,4.1,NSC,nuwakot
2016-02-13,20:22,27.81,85.72,4.3,NSC,sindhupalchowk
2016-02-10,22:12,27.84,85.71,4.6,NSC,sindhupalchowk
2016-02-05,22:05,27.95,85.52,5.5,NSC,sindhupalchowk
2016-01-27,20:42,26.68,86.27,4.2,NSC,siraha
2016-01-27,14:27,27.83,85.83,4.4,NSC,sindhupalchowk
2016-01-22,01:07,28.06,85.09,4.6,NSC,nuwakot
2016-01-15,22:59,27.65,86.23,4.3,NSC,dolakha
2016-01-15,18:50,27.63,86.25,4.1,NSC,dolakha
2016-01-09,23:28,27.48,86.01,4.4,NSC,ramechhap
2016-01-04,18:47,27.75,86.12,4.1,NSC,dolakha
2016-01-02,03:15,28.01,85.8,4.2,NSC,sindhupalchowk
2015-12-31,07:41,27.86,85.72,4.3,NSC,sindhupalchowk
2015-12-28,03:52,27.7,86.12,4.2,NSC,dolakha
2015-12-26,10:33,29.35,81.29,4.1,NSC,bajura
2015-12-23,08:59,27.79,86.08,4.1,NSC,dolakha
2015-12-18,16:01,29.44,81.69,5.5,NSC/RSC,bajura
2015-12-13,08:45,28.04,85.02,4.1,NSC,dhading
2015-12-07,07:27,27.86,86.19,4.0,NSC,dolakha
2015-11-30,06:10,27.78,85.39,4.1,NSC,kathmandu
2015-11-27,16:22,27.11,87.95,4.6,NSC,panchthar
2015-11-27,15:23,27.63,85.53,4.1,NSC,kavrepalanchok
2015-11-25,00:42,27.87,85.77,4.1,NSC,sindhupalchowk
2015-11-24,18:09,28.15,84.81,4.4,NSC,gorkha
2015-11-24,17:00,27.87,85.29,4.0,NSC,nuwakot
2015-11-22,07:11,28.43,83.3,4.1,NSC/RSC,myagdi
2015-11-20,13:45,28.35,83.36,4.0,NSC/RSC,baglung
2015-11-19,17:44,27.77,85.88,4.0,NSC,sindhupalchok
2015-11-19,10:00,27.89,85.75,5.3,NSC,sindupalchok
2015-11-17,18:55,28.02,85.28,4.3,NSC,rasuwa
2015-11-12,15:45,27.99,85.65,4.2,NSC,sindupalchok
2015-10-31,09:28,28.03,85.23,4.3,NSC,rasuwa
2015-10-17,23:46,27.8,86.3,4.2,NSC,dolakha
2015-10-16,14:28,27.71,86.16,4.2,NSC,dolakha
2015-10-08,21:58,27.96,85.54,4.1,NSC,sindupalchowk
2015-10-08,13:00,27.57,85.31,4.0,NSC,lalitpur
2015-10-07,05:15,27.68,86.08,4.2,NSC,dolakha
2015-10-06,17:47,27.69,86.09,4.2,NSC,dolakha
2015-10-05,13:21,27.71,86.1,4.2,NSC,dolakha
2015-10-05,13:18,27.71,86.15,4.8,NSC,dolakha
2015-09-29,16:39,27.77,85.87,4.6,NSC,sindhupalchowk
2015-09-29,15:12,29.83,80.6,4.6,RSC,darchula
2015-09-22,12:17,27.74,85.07,4.5,NSC,dhading
2015-09-20,04:05,27.76,86.37,4.0,NSC,dolakha
2015-09-16,20:37,27.6,86.19,4.2,NSC,dolakha
2015-09-09,18:23,27.82,86.24,4.0,NSC,dolakha
2015-09-03,05:10,27.75,86.01,4.3,NSC,sindhupalchowk
2015-09-02,04:51,27.64,86.19,4.4,NSC,dolakha
2015-08-31,23:33,27.92,85.69,4.2,NSC,sindhupalchowk
2015-08-30,03:09,27.92,84.94,4.3,NSC,dhading
2015-08-30,19:02,27.72,85.75,5.0,NSC,sindhupalchowk
2015-08-30,08:26,27.66,86.23,4.1,NSC,dolakha
2015-08-27,00:51,27.85,85.74,4.2,NSC,sindhupalchowk
2015-08-27,06:07,28.12,84.89,4.1,NSC,gorkha
2015-08-26,13:31,30.11,81.53,4.1,RSC,humla
2015-08-25,15:08,27.68,86.22,4.0,NSC,dolakha
2015-08-23,14:47,27.87,86.17,5.1,NSC,dolakha
2015-08-21,12:21,27.96,85.48,4.0,NSC,nuwakot
2015-08-20,11:47,28.0,85.29,4.6,NSC,rasuwa
2015-08-18,04:08,27.93,86.14,4.8,NSC,dolakha
2015-08-15,23:56,27.71,86.05,4.8,NSC,dolakha
2015-08-15,10:10,27.87,86.08,4.1,NSC,dolakha
2015-08-14,18:47,27.59,85.97,4.3,NSC,dolakha
